draft_team,draft_pick,draft_player,draft_amount,player,points,value,pos,team,scoring,rank,tier,pos_rank,bye,best,worst,avg,std_dev,adp,vs_adp,player_join
Jesse,124,"Antonio Gibson Wsh, RB",6,Antonio Gibson,168,24,RB,Wsh,half,84,7,31,8,40,262,75.3,32.6,150,66,Antonio Gibson Wsh RB
Noah,125,"TJ Hockenson Det, TE",2,T.J. Hockenson,105,2,TE,Det,half,115,8,14,5,55,284,121.8,27.3,134,19,T.J. Hockenson Det TE
Jordan,126,"Sterling Shepard NYG, WR",2,Sterling Shepard,150,6,WR,NYG,half,107,8,41,11,66,216,116.4,23.6,114,7,Sterling Shepard NYG WR
Mathew,127,"James White NE, RB",2,James White,142,14,RB,NE,half,81,7,30,6,34,200,79.8,22.1,94,13,James White NE RB
Jesse,128,"Tevin Coleman SF, RB",2,Tevin Coleman,114,7,RB,SF,half,105,8,39,11,58,227,107.1,29.4,119,14,Tevin Coleman SF RB
Jordan,129,"Darrell Henderson LAR, RB",3,Darrell Henderson,92,4,RB,LAR,half,140,9,49,9,58,274,139.5,39.3,123,-17,Darrell Henderson LAR RB
Eric,130,"Jordan Howard Mia, RB",2,Jordan Howard,116,8,RB,Mia,half,87,7,33,11,47,173,82.8,18.5,87,0,Jordan Howard Mia RB
Miles,131,"Robby Anderson Car, WR",1,Robby Anderson,121,0,WR,Car,half,161,9,59,13,79,270,158.7,28.7,158,-3,Robby Anderson Car WR
Jordan,132,"Matt Breida Mia, RB",2,Matt Breida,120,9,RB,Mia,half,101,7,38,11,53,235,97.3,25.8,93,-8,Matt Breida Mia RB
Chappy,133,"Christian Kirk Ari, WR",2,Christian Kirk,148,5,WR,Ari,half,99,7,39,8,59,188,106.3,20.9,120,21,Christian Kirk Ari WR
Jesse,134,"Stephen Gostkowski Ten, K",2,Stephen Gostkowski,110,1,K,Ten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawker,135,"Marlon Mack Ind, RB",1,Marlon Mack,130,11,RB,Ind,half,106,8,40,7,42,184,104.9,27.4,100,-6,Marlon Mack Ind RB
Jesse,136,"Jared Cook NO, TE",1,Jared Cook,126,7,TE,NO,half,96,7,10,6,48,205,108.8,29.5,78,-18,Jared Cook NO TE
Brack,137,"Golden Tate NYG, WR",1,Golden Tate,139,3,WR,NYG,half,130,8,49,11,73,258,137.2,28.1,162,32,Golden Tate NYG WR
Eric,138,"Darius Slayton NYG, WR",1,Darius Slayton,136,2,WR,NYG,half,117,8,44,11,59,204,122.5,25.8,106,-11,Darius Slayton NYG WR
Christian,139,"Matt Ryan Atl, QB",1,Matt Ryan,289,9,QB,Atl,half,75,6,8,10,15,192,80.4,19.4,73,-2,Matt Ryan Atl QB
Britt,140,"Tony Pollard Dal, RB",1,Tony Pollard,98,4,RB,Dal,half,142,9,50,10,84,245,144.7,35.6,143,1,Tony Pollard Dal RB
Chappy,141,"Jack Doyle Ind, TE",1,Jack Doyle,104,1,TE,Ind,half,143,9,20,7,65,334,147,32.8,180,37,Jack Doyle Ind TE
Miles,142,"John Brown Buf, WR",1,John Brown,139,3,WR,Buf,half,113,8,43,11,72,232,116.8,24.3,98,-15,John Brown Buf WR
Jordan,143,"Darrel Williams KC, RB",1,Darrel Williams,77,2,RB,KC,half,205,10,60,10,83,333,199.8,67.2,186,-19,Darrel Williams KC RB
Mathew,144,"Larry Fitzgerald Ari, WR",1,Larry Fitzgerald,101,0,WR,Ari,half,191,10,65,8,108,252,186.5,28,172,-19,Larry Fitzgerald Ari WR
Noah,145,"Carson Wentz Phi, QB",1,Carson Wentz,274,5,QB,Phi,half,78,7,9,9,20,244,88.9,21.2,89,11,Carson Wentz Phi QB
Hawker,146,"Adrian Peterson Det, RB",1,Adrian Peterson,87,3,RB,Det,half,207,10,61,5,84,363,180.9,63.5,167,-40,Adrian Peterson Det RB
Jesse,147,"Eagles D/ST Phi, D/ST",1,Philadelphia Eagles,109,1,D/ST,Phi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philadelphia Eagles Phi D/ST
Brack,148,"CeeDee Lamb Dal, WR",1,CeeDee Lamb,133,2,WR,Dal,half,112,8,42,10,72,265,121.2,30.1,103,-9,CeeDee Lamb Dal WR
Eric,149,"DeSean Jackson Phi, WR",1,DeSean Jackson,139,3,WR,Phi,half,145,9,53,9,39,329,146.7,42.9,152,7,DeSean Jackson Phi WR
Christian,150,"Justin Jefferson Min, WR",1,Justin Jefferson,115,0,WR,Min,half,156,9,57,7,85,293,160.7,34.7,133,-23,Justin Jefferson Min WR
Britt,151,"Duke Johnson Hou, RB",1,Duke Johnson,115,7,RB,Hou,half,135,8,46,8,73,253,130.8,35.8,151,16,Duke Johnson Hou RB
Chappy,152,"Colts D/ST Ind, D/ST",1,Indianapolis Colts,105,1,D/ST,Ind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indianapolis Colts Ind D/ST
Miles,153,"Jonnu Smith Ten, TE",1,Jonnu Smith,106,2,TE,Ten,half,122,8,16,7,63,283,128.2,28.4,163,41,Jonnu Smith Ten TE
Jordan,154,"Anthony Miller Chi, WR",1,Anthony Miller,134,2,WR,Chi,half,119,8,45,11,70,232,125.7,29.4,155,36,Anthony Miller Chi WR
Mathew,155,"Mike Williams LAC, WR",1,Mike Williams,124,0,WR,LAC,half,134,8,51,10,55,228,141.7,31.1,132,-2,Mike Williams LAC WR
Noah,156,"Matthew Stafford Det, QB",1,Matthew Stafford,260,2,QB,Det,half,90,7,12,5,23,217,98.9,21.9,97,7,Matthew Stafford Det QB
Hawker,157,"Ryquell Armstead Jax, RB",1,Ryquell Armstead,59,0,RB,Jax,half,121,8,44,7,66,199,139.3,34.8,188,67,Ryquell Armstead Jax RB
Brack,158,"Sammy Watkins KC, WR",1,Sammy Watkins,128,1,WR,KC,half,171,9,62,10,110,294,168.3,27.6,140,-31,Sammy Watkins KC WR
Christian,159,"Mike Gesicki Mia, TE",1,Mike Gesicki,117,4,TE,Mia,half,104,8,13,11,47,221,115.4,25.8,124,20,Mike Gesicki Mia TE
